Provincias;Existe o no separación previa;Periodo;Total
02 Albacete;Si;2019;38
02 Albacete;Si;2018;47
02 Albacete;Si;2017;79
02 Albacete;Si;2016;58
02 Albacete;Si;2015;89
02 Albacete;Si;2014;71
02 Albacete;Si;2013;82
02 Albacete;No;2019;537
02 Albacete;No;2018;592
02 Albacete;No;2017;646
02 Albacete;No;2016;669
02 Albacete;No;2015;718
02 Albacete;No;2014;574
02 Albacete;No;2013;565
03 Alicante/Alacant;Si;2019;223
03 Alicante/Alacant;Si;2018;268
03 Alicante/Alacant;Si;2017;270
03 Alicante/Alacant;Si;2016;305
03 Alicante/Alacant;Si;2015;321
03 Alicante/Alacant;Si;2014;392
03 Alicante/Alacant;Si;2013;350
03 Alicante/Alacant;No;2019;3.364
03 Alicante/Alacant;No;2018;3.501
03 Alicante/Alacant;No;2017;3.608
03 Alicante/Alacant;No;2016;3.771
03 Alicante/Alacant;No;2015;3.422
03 Alicante/Alacant;No;2014;3.678
03 Alicante/Alacant;No;2013;3.311
04 Almería;Si;2019;81
04 Almería;Si;2018;83
04 Almería;Si;2017;80
04 Almería;Si;2016;95
04 Almería;Si;2015;101
04 Almería;Si;2014;81
04 Almería;Si;2013;120
04 Almería;No;2019;1.603
04 Almería;No;2018;1.373
04 Almería;No;2017;1.374
04 Almería;No;2016;1.330
04 Almería;No;2015;1.298
04 Almería;No;2014;1.235
04 Almería;No;2013;1.148
01 Araba/Álava;Si;2019;38
01 Araba/Álava;Si;2018;53
01 Araba/Álava;Si;2017;40
01 Araba/Álava;Si;2016;75
01 Araba/Álava;Si;2015;60
01 Araba/Álava;Si;2014;44
01 Araba/Álava;Si;2013;63
01 Araba/Álava;No;2019;470
01 Araba/Álava;No;2018;469
01 Araba/Álava;No;2017;523
01 Araba/Álava;No;2016;580
01 Araba/Álava;No;2015;479
01 Araba/Álava;No;2014;523
01 Araba/Álava;No;2013;494
33 Asturias;Si;2019;188
33 Asturias;Si;2018;203
33 Asturias;Si;2017;248
33 Asturias;Si;2016;205
33 Asturias;Si;2015;236
33 Asturias;Si;2014;264
33 Asturias;Si;2013;275
33 Asturias;No;2019;1.907
33 Asturias;No;2018;1.875
33 Asturias;No;2017;2.003
33 Asturias;No;2016;2.060
33 Asturias;No;2015;2.028
33 Asturias;No;2014;2.192
33 Asturias;No;2013;1.953
05 Ávila;Si;2019;14
05 Ávila;Si;2018;16
05 Ávila;Si;2017;20
05 Ávila;Si;2016;14
05 Ávila;Si;2015;7
05 Ávila;Si;2014;15
05 Ávila;Si;2013;15
05 Ávila;No;2019;206
05 Ávila;No;2018;225
05 Ávila;No;2017;208
05 Ávila;No;2016;202
05 Ávila;No;2015;165
05 Ávila;No;2014;197
05 Ávila;No;2013;195
06 Badajoz;Si;2019;68
06 Badajoz;Si;2018;73
06 Badajoz;Si;2017;90
06 Badajoz;Si;2016;83
06 Badajoz;Si;2015;114
06 Badajoz;Si;2014;138
06 Badajoz;Si;2013;120
06 Badajoz;No;2019;1.094
06 Badajoz;No;2018;1.041
06 Badajoz;No;2017;1.060
06 Badajoz;No;2016;1.060
06 Badajoz;No;2015;1.075
06 Badajoz;No;2014;1.082
06 Badajoz;No;2013;857
07 Balears, Illes;Si;2019;194
07 Balears, Illes;Si;2018;199
07 Balears, Illes;Si;2017;211
07 Balears, Illes;Si;2016;217
07 Balears, Illes;Si;2015;222
07 Balears, Illes;Si;2014;196
07 Balears, Illes;Si;2013;276
07 Balears, Illes;No;2019;2.253
07 Balears, Illes;No;2018;2.299
07 Balears, Illes;No;2017;2.336
07 Balears, Illes;No;2016;2.167
07 Balears, Illes;No;2015;2.201
07 Balears, Illes;No;2014;2.195
07 Balears, Illes;No;2013;2.114
08 Barcelona;Si;2019;818
08 Barcelona;Si;2018;892
08 Barcelona;Si;2017;1.044
08 Barcelona;Si;2016;1.107
08 Barcelona;Si;2015;1.141
08 Barcelona;Si;2014;1.344
08 Barcelona;Si;2013;1.381
08 Barcelona;No;2019;11.755
08 Barcelona;No;2018;12.022
08 Barcelona;No;2017;12.019
